,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
0,【5G】今治市立花町二丁目,今治市,,コン柱,open,3,3,3,"737335-1,2,3","39,347,139",,34.052319,132.999271,2022/06/01 00:00:00,darkblue,plane
1,【5G】今治市中寺①,今治市,今治中寺郵便局付近,コン柱,open,3,3,3,"737331-1,2,3","292,98,300",,34.037485,132.991341,2022/06/01 00:00:00,darkblue,plane
2,今治市桜井四丁目,今治市,志島ヶ原・綱敷天満神社付近,コン柱,open,3,,,"737512-10,11,12","47,378,94",,34.017394,133.041464,2023/04/23 16:44:15,green,signal
3,今治市登畑,今治市,レデイ薬局今治国分店付近,コン柱,open,3,,,"737510-4,5,6","136,278,135",,34.019522,133.016295,2023/04/23 18:22:03,green,signal
4,【5G】今治市阿方①,今治市,ファミリーマート今治阿方店付近,コン柱,open,3,1,2,"737354-4,5,6","225,227,226",,34.061198,132.970841,2022/11/13 02:31:56,darkblue,plane
5,【5G】今治市阿方②,今治市,マックスバリュ今治阿方店付近,コン柱,open,3,1,3,"737354-1,2,3","298,179,174",,34.062522,132.965313,2022/06/01 00:00:00,darkblue,plane
6,今治市波止浜,今治市,ディオ今治北店付近,コン柱,open,3,,,"737487-3,4,5","179,178,177",,34.098534,132.971486,2023/04/22 17:54:08,green,signal
7,【5G】今治市大新田町五丁目,今治市,今治市営球場付近,コン柱,open,3,1,3,"737378-1,2,3","86,114,340",,34.08093,132.989408,2022/06/01 00:00:00,darkblue,plane
8,今治市国分三丁目,今治市,今治国分郵便局付近,コン柱,open,3,,,"737511-4,5,6","260,163,363",,34.027089,133.019527,2023/04/23 18:24:27,green,signal
9,今治市玉川町大野,今治市,ファミリーマート玉川店付近,コン柱,open,3,,,"737493-7,8,9","181,180,182",,34.019779,132.942431,2023/04/03 21:40:55,green,signal
10,【5G】今治市高橋,今治市,ファミリーマート高橋店付近,コン柱,open,3,1,3,"737363-1,2,3","356,354,355",,34.0390972,132.97306,2022/06/01 00:00:00,darkblue,plane
11,今治市拝志,今治市,ワールドプラザ付近,コン柱,open,3,,,"737511-10,11,12","257,237,187",,34.040948,133.027296,2023/04/23 21:24:45,green,signal
12,今治市中寺②,今治市,,コン柱,open,3,,,"737331-4,5,6","159,161,40",,34.031775,132.9987931,2022/06/01 00:00:00,green,signal
13,今治市松木,今治市,,コン柱,open,3,,,"737511-7,8,9","164,286,267",,34.029208,133.004043,2023/04/23 18:34:27,green,signal
14,今治市近見町三丁目,今治市,,コン柱,open,3,,,"737378-4,5,6","38,37,36",,34.09090214,132.9818234,2022/06/01 00:00:00,green,signal
15,今治市玉川町長谷①,今治市,丸紅玉川SS付近,コン柱,open,3,,,"737494-4,5,6","323,322,321",,34.0121,132.939173,2023/04/03 21:27:14,green,signal
16,【5G】今治市延喜①,今治市,ワタナベデンカ付近,コン柱,open,3,1,2,"737354-10,11,12","230,229,228",,34.065479,132.95541,2023/04/22 17:59:36,darkblue,plane
