ID,場所,市区町村,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,投稿者,備考,URL,協力者
00b3cf13,上浮穴郡久万高原町上黒岩②,久万高原町,コン柱,open,1,,,737610-1,225,CBSB838001203,33.613393,132.973228,2024-05-09 20:47:09,@sfuruie0407,開局,https://x.com/sfuruie0407/status/1788489427184161248,@sfuruie0407
00ccfe32,北宇和郡鬼北町大字下鍵山③,鬼北町,コン柱,open,1,,,737570-1,4,,33.335994,132.800727,2023-03-19 20:36:02,@kmtt2012,,https://x.com/kmtt2012/status/1636937561838067712,@kmtt2012
00f6f7de,今治市朝倉北,今治市,コン柱,open,3,,,"737512-7,8,9","337,83,336",,33.997339,133.018272,2023-04-28 21:28:02,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1651931132039151617,@imabarizine
011909d7,上浮穴郡久万高原町渋草,久万高原町,コン柱,open,1,,,737599-6,225,,33.690634,133.034315,2024-04-28 01:54:13,@sfuruie0407,開局,https://x.com/sfuruie0407/status/1734148948645101724,@sfuruie0407
01efaa01,新居浜市萩生①,新居浜市,コン柱,open,3,3,,"737492-7,8,9","348,260,118",CBSB838000471,33.926831,133.271019,2024-05-04 22:23:15,@imabarizine,5G追加,https://x.com/raku10ehime/status/1786780262480879737,@imabarizine @kmtt2012
025f251e,南宇和郡愛南町柏,愛南町,コン柱,open,3,1,3,"737416-9,10,11","164,162,163",,33.017047,132.498389,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
02a94a70,伊予郡松前町大字筒井,松前町,屋上,open,3,,,"737532-1,2,3","183,269,286",,33.786738,132.711756,2023-03-25 23:57:24,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1639607977509527552,wankosa @saiseki56
032de04c,宇和島市野川,宇和島市,コン柱,open,3,,,"737296-4,5,6","52,53,51",,33.216929,132.573356,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
03c71bdd,伊予市米湊③,伊予市,コン柱,open,3,,,"737481-3,4,5","272,270,373",,33.751798,132.70042,2023-03-21 17:44:55,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1637807749911437312,@saiseki56
03f55d81,西予市城川町魚成,西予市,コン柱,ready,3,,,,,,33.375929,132.70717,2024-04-28 13:36:36,@kmtt2012,,,@kmtt2012
042c211a,西条市小松町大郷,西条市,コン柱,open,1,,,737528-7,203,CBSB838001174,33.868909,133.078401,2024-05-04 21:46:16,@imabarizine,写真追加,https://x.com/raku10ehime/status/1786776686698336675,@MVp7WugssM0KObp @imabarizine
04417087,新居浜市繁本町,新居浜市,コン柱,open,2,,,"737542-4,5","293,112",,33.962448,133.27879,2023-05-04 14:40:45,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1654090297801064448,@imabarizine
0491b473,伊予市双海町上灘②,伊予市,コン柱,close,,,,,,,33.681452,132.665832,2023-03-21 17:03:59,@saiseki56,,https://x.com/saiseki56/status/1637701205001654272,@saiseki56
049b323f,南宇和郡愛南町深浦②,愛南町,コン柱,open,3,,,"737536-5,6,7","37,38,36",CBSB838001384,32.952343,132.587872,2024-04-28 00:02:42,@kmtt2012,新規開局,https://x.com/kmtt2012/status/1680409519929831424,@kmtt2012
04f02468,松山市清住一丁目,松山市,コン柱,open,3,,,"737282-7,8,9","140,138,139",,33.8536943,132.7166716,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
05727192,宇和島市小浜,宇和島市,コン柱,open,1,,,737427-3,342,,33.2049952,132.505668,2022-06-01 00:00:00,@saiseki56,,,@saiseki56
05d2a177,宇和島市吉田町河内②,宇和島市,コン柱,open,1,,,737499-4,10,CBSB838001434,33.293713,132.512085,2024-04-28 11:49:32,@saiseki56,新規開局,,@saiseki56
