場所,市区町村,設置タイプ,更新日時,状況,eNB-LCID,PCI,基地局ID,sector,sub6,ミリ波,緯度,経度
上浮穴郡久万高原町上黒岩②,久万高原町,コン柱,2024/05/09 20:47:09,open,737610-1,225,CBSB838001203,1,,,33.613393,132.973228
北宇和郡鬼北町大字下鍵山③,鬼北町,コン柱,2023/03/19 20:36:02,open,737570-1,4,,1,,,33.335994,132.800727
今治市朝倉北,今治市,コン柱,2023/04/28 21:28:02,open,"737512-7,8,9","337,83,336",,3,,,33.997339,133.018272
上浮穴郡久万高原町渋草,久万高原町,コン柱,2024/04/28 01:54:13,open,737599-6,225,,1,,,33.690634,133.034315
新居浜市萩生①,新居浜市,コン柱,2024/05/04 22:23:15,open,"737492-7,8,9","348,260,118",CBSB838000471,3,3,,33.926831,133.271019
南宇和郡愛南町柏,愛南町,コン柱,2022/06/01 00:00:00,open,"737416-9,10,11","164,162,163",,3,1,3,33.017047,132.498389
伊予郡松前町大字筒井,松前町,屋上,2023/03/25 23:57:24,open,"737532-1,2,3","183,269,286",,3,,,33.786738,132.711756
宇和島市野川,宇和島市,コン柱,2022/06/01 00:00:00,open,"737296-4,5,6","52,53,51",,3,,,33.216929,132.573356
伊予市米湊③,伊予市,コン柱,2023/03/21 17:44:55,open,"737481-3,4,5","272,270,373",,3,,,33.751798,132.70042
西予市城川町魚成,西予市,コン柱,2024/04/28 13:36:36,ready,,,,3,,,33.375929,132.70717
西条市小松町大郷,西条市,コン柱,2024/05/04 21:46:16,open,737528-7,203,CBSB838001174,1,,,33.868909,133.078401
新居浜市繁本町,新居浜市,コン柱,2023/05/04 14:40:45,open,"737542-4,5","293,112",,2,,,33.962448,133.27879
伊予市双海町上灘②,伊予市,コン柱,2023/03/21 17:03:59,close,,,,,,,33.681452,132.665832
南宇和郡愛南町深浦②,愛南町,コン柱,2024/04/28 00:02:42,open,"737536-5,6,7","37,38,36",CBSB838001384,3,,,32.952343,132.587872
松山市清住一丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737282-7,8,9","140,138,139",,3,,,33.8536943,132.7166716
宇和島市小浜,宇和島市,コン柱,2022/06/01 00:00:00,open,737427-3,342,,1,,,33.2049952,132.505668
宇和島市吉田町河内②,宇和島市,コン柱,2024/04/28 11:49:32,open,737499-4,10,CBSB838001434,1,,,33.293713,132.512085
四国中央市寒川町①,四国中央市,コン柱,2022/06/01 00:00:00,open,"737308-1,2,3","337,273,275",,3,,,33.9691708,133.5195612
北宇和郡鬼北町大字近永②,鬼北町,コン柱,2023/03/19 20:26:56,open,"737486-4,5,6","60,61,62",,3,,,33.257405,132.684035
八幡浜市五反田①,八幡浜市,屋上,2023/01/08 14:54:38,open,"737474-1,2,3","36,37,200",,3,,,33.445415,132.439712
八幡浜市保内町磯崎①,八幡浜市,コン柱,2024/04/28 20:41:05,open,"737500-3,4,5","134,212,211",,3,1,1,33.542691,132.416217
八幡浜市保内町川之石,八幡浜市,コン柱,2024/06/17 00:39:40,open,"737472-7,8,9","322,317,216",,3,3,,33.476589,132.395549
西予市野村町松溪,西予市,衛星,2024/04/28 21:16:10,open,742166-1,54,CBSB838001170,1,,,33.410407,132.592679
伊予市米湊①,伊予市,コン柱,2023/03/21 17:42:18,open,"737479-7,8,9","188,186,187",,3,,,33.756845,132.707499
西宇和郡伊方町二名津,伊方町,コン柱,2022/06/01 00:00:00,open,"737361-10,11","258,259",,2,,,33.40179167,132.1408634
松山市別府町,松山市,コン柱,2022/06/01 00:00:00,open,"737282-10,11","75,77",,2,,,33.844242,132.721322
喜多郡内子町城廻①,内子町,コン柱,2023/03/21 17:26:51,open,"737558-7,8,9","299,297,298",,3,,,33.561306,132.658279
松山市立花二丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737325-7,8,9","195,197,196",,3,,,33.827734,132.773252
伊予市双海町上灘⑤,伊予市,コン柱,2024/04/28 19:15:03,open,"737604-1,2","168,46",,2,,,33.6805,132.688375
伊予市下三谷①,伊予市,コン柱,2023/03/27 22:48:00,open,"737479-1,2,3","124,111,80",,3,,,33.770622,132.719528
東温市北野田,東温市,コン柱,2022/06/01 00:00:00,open,"737371-1,2,3","72,73,74",,3,,,33.7928904,132.8412094
東温市志津川,東温市,コン柱,2022/06/01 00:00:00,open,"737382-7,8,9","329,327,328",,3,,,33.80047736,132.8710169
南宇和郡愛南町緑乙②,愛南町,コン柱,2024/05/11 20:49:32,ready,,,,2,1,1,33.014333,132.597528
伊予郡砥部町岩谷口,砥部町,コン柱,2023/03/03 20:35:44,open,"737555-6,7,8","134,156,133",,3,,,33.73114,132.796906
松山市森松町①,松山市,コン柱,2022/06/01 00:00:00,open,"737328-1,2,3","78,283,284",,3,,,33.7913981,132.7906268
松山市平井町,松山市,コン柱,2022/06/01 00:00:00,open,"737325-1,2,3","110,108,109",,3,,,33.807028,132.830691
西宇和郡伊方町河内,伊方町,コン柱,2023/01/08 14:39:02,open,"737475-1,2","35,33",,2,1,2,33.495838,132.36964
今治市波方町小部,今治市,コン柱,2024/05/05 23:19:46,open,"737422-4,5,6","10,248,148",,3,,,34.104607,132.931281
宇和島市遊子②,宇和島市,コン柱,2022/06/01 00:00:00,open,"737427-4,5","311,310",,2,,,33.189197,132.457303
上浮穴郡久万高原町下畑野川,久万高原町,コン柱,2023/03/19 20:10:07,open,"737530-4,5,6","179,177,70",,3,,,33.674468,132.928229
西条市神拝甲,西条市,屋上,2023/03/26 11:08:44,open,"737519-4,5,6","125,178,357",,3,,,33.917809,133.177417
喜多郡内子町吉野川,内子町,コン柱,2024/04/28 18:41:29,open,737600-3,336,CBSB838001444,1,,,33.580652,132.773568
南宇和郡愛南町内泊,愛南町,コン柱,2024/05/11 20:41:17,ready,,,,3,,,32.94,132.492472
西条市小松町南川,西条市,コン柱,2024/05/04 21:54:35,open,"737513-6,7,8","168,336,41",,3,3,1,33.895811,133.103204
今治市玉川町木地辛,今治市,衛星,2024/05/19 14:58:47,open,742263-1,1,CBSB838001612,1,,,33.95733236,132.9614234
伊予市中山町出渕②,伊予市,コン柱,2023/03/28 20:59:34,open,737539-6,3,CBSB838001311,1,,,33.640628,132.715327
八幡浜市日土町③,八幡浜市,コン柱,2023/03/24 21:53:15,ready,,,CBSB838000407,3,,,33.5019824,132.4520081
伊予市灘町,伊予市,コン柱,2023/03/21 17:43:41,open,"737487-1,2","148,293",,2,,,33.757644,132.698445
西宇和郡伊方町高浦,伊方町,コン柱,2023/03/30 14:50:50,close,,,,,,,33.380694,132.120351
西宇和郡伊方町二見①,伊方町,コン柱,2023/01/10 19:52:45,close,,,,,,,33.4728247,132.2765074
新居浜市大島,新居浜市,コン柱,2024/05/03 23:07:15,close,,,,3,,,33.995075,133.365393
宇和島市吉田町立間①,宇和島市,コン柱,2024/04/28 14:05:36,open,"737495-1,2","377,375",,2,,,33.297423,132.539422
松山市藤原二丁目,松山市,屋内,2023/03/14 19:36:10,open,747282-3,404,,1,,,33.830802,132.757598
宇和島市三間町則,宇和島市,コン柱,2024/04/28 14:08:07,open,"737598-4,5,6","9,155,106",,3,,,33.306041,132.581085
宇和島市朝日町四丁目,宇和島市,屋上,2023/04/28 22:23:22,open,"737294-4,5,6","243,244,245",,3,,,33.225876,132.559107
八幡浜市国木②,八幡浜市,コン柱,2023/07/14 10:38:05,open,737569-6,115,CBSB838001329,1,,,33.451588,132.45625
今治市大三島町宗方,今治市,衛星,2024/04/27 20:39:12,open,"742153-1
742154-1","279,373",,2,,,34.204913,132.955906
八幡浜市布喜川,八幡浜市,コン柱,2023/01/08 14:53:18,open,"737474-6,7,8","370,371,369",,3,,,33.427868,132.441296
松山市山越四丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737309-4,5,6","47,45,46",,3,,,33.86407,132.756708
八幡浜市保内町喜木,八幡浜市,衛星,2024/04/28 00:40:33,open,"742272-1
742273-1","205,206",,2,,,33.485999,132.411611
南宇和郡愛南町深浦①,愛南町,コン柱,2022/06/01 00:00:00,open,"737419-4,5,6","65,64,63",,3,,,32.946335,132.590326
西条市大町④,西条市,屋上,2024/05/11 22:10:25,open,"737575-1,2,3","244,363,296",,3,,,33.91399,133.18365
新居浜市船木⑤,新居浜市,コン柱,2024/05/11 22:37:12,open,737568-1,60,CBSB838001259,1,1,,33.941267,133.352631
大洲市東大洲③,大洲市,コン柱,2022/07/17 16:09:00,open,"737447-8,9,10","360,19,310",,3,,,33.5168537,132.5564834
松山市北久米町,松山市,コン柱,2022/06/01 00:00:00,open,"737284-7,8,9","84,85,86",,3,,,33.817731,132.799096
松山市北斎院町③,松山市,コン柱,2023/05/10 11:10:19,open,"737560-10,11,12","51,308,313",,3,,,33.835155,132.734469
大洲市肱川町名荷谷,大洲市,au共用,2023/03/27 21:02:50,open,742230-1,1,,1,,,33.4773,132.69379
四国中央市金生町山田井,四国中央市,コン柱,2023/06/13 18:51:00,open,"737466-1,2,3","213,290,331",,3,,,34.019739,133.60594
今治市吉海町名①,今治市,コン柱,2023/04/30 21:49:06,open,737566-6,228,,1,,,34.12071673,133.0218706
今治市喜田村七丁目,今治市,コン柱,2023/04/23 18:32:33,open,"737511-1,2,3","195,235,236",,3,,,34.040453,133.021312
松山市高岡町,松山市,屋上,2023/05/10 10:54:31,open,"737559-10,11","5,3",,2,,,33.8289,132.725997
