radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188744196,80,132.7362347,33.8503527,0,15,1,1622895422,1711861624,
LTE,440,11,39937,188744200,249,132.7126694,33.8500604,0,18,1,1634869668,1711861625,
LTE,440,11,39937,188744201,67,132.7129796,33.8569879,0,14,1,1634898242,1711861625,
LTE,440,11,39937,188744450,42,132.7077039,33.8441182,0,15,1,1634869668,1714797923,
LTE,440,11,39937,188744452,369,132.7230134,33.8592377,0,6,1,1639047052,1711861625,
LTE,440,11,39937,188744454,10,132.7186455,33.8570748,0,11,1,1639047052,1711861625,
LTE,440,11,39937,188745474,160,132.7576658,33.8988185,0,30,1,1616296659,1711861621,
LTE,440,11,39937,188745479,162,132.7519577,33.8757629,0,2,1,1658571347,1711861621,
LTE,440,11,39937,188745480,16,132.7523827,33.8738653,0,6,1,1658539703,1711861621,
LTE,440,11,39937,188747011,307,132.7490419,33.8030411,0,2,1,1622805712,1715746967,
LTE,440,11,39937,188747522,166,132.7955152,33.8278242,0,16,1,1634959117,1714797923,
LTE,440,11,39937,188747530,315,132.7555299,33.8403976,0,9,1,1622806860,1711861620,
LTE,440,11,39937,188747532,289,132.7514364,33.8388415,0,5,1,1622806860,1711861620,
LTE,440,11,39937,188748545,98,132.7548747,33.8458398,0,7,1,1633172663,1711861624,
LTE,440,11,39937,188748546,207,132.7508291,33.8415164,0,11,1,1622805712,1711861624,
LTE,440,11,39937,188748547,88,132.7506744,33.8459428,0,31,1,1622895422,1711861624,
LTE,440,11,39937,188748551,273,132.7536439,33.8541582,0,10,1,1632048548,1711861623,
LTE,440,11,39937,188748552,145,132.7532373,33.8515311,0,10,1,1633172663,1711861623,
LTE,440,11,39937,188748554,372,132.7460188,33.8435123,0,29,1,1649327129,1711861624,
LTE,440,11,39937,188748556,173,132.7445666,33.8405952,0,3,1,1649327129,1711861624,
LTE,440,11,39937,188748801,148,132.7467607,33.8479107,0,8,1,1622895422,1711861624,
LTE,440,11,39937,188748803,255,132.7460913,33.8527498,0,7,1,1616296659,1711861624,
LTE,440,11,39937,188748804,205,132.7440475,33.8581664,0,1,1,1654253573,1711861623,
LTE,440,11,39937,188749057,312,132.7821587,33.8137460,0,1,1,1633245400,1715746967,
LTE,440,11,39937,188749061,219,132.7480316,33.7733088,0,6,1,1634961374,1714797923,
LTE,440,11,39937,188751106,25,132.7511732,33.8663881,0,4,1,1616296659,1711861623,
LTE,440,11,39937,188751107,260,132.7516630,33.8699788,0,11,1,1616296659,1711861623,
LTE,440,11,39937,188751109,113,132.7533637,33.8598768,0,9,1,1616296659,1711861623,
LTE,440,11,39937,188751113,139,132.7527319,33.8550770,0,1,1,1632048548,1711861623,
LTE,440,11,39937,188751114,96,132.7508563,33.8646310,0,6,1,1627691352,1711861624,
LTE,440,11,39937,188751115,227,132.7492223,33.8611135,0,28,1,1627691352,1711861624,
LTE,440,11,39937,188751116,379,132.7505257,33.8655432,0,3,1,1622895422,1711861623,
LTE,440,11,39937,188751617,110,132.7340331,33.8458742,0,3,1,1633172663,1711861624,
LTE,440,11,39937,188751618,87,132.6873474,33.7728481,0,7,1,1633172663,1715746973,
LTE,440,11,39937,188752391,368,132.7428396,33.8613002,0,5,1,1616296659,1711861624,
LTE,440,11,39937,188752392,333,132.7370410,33.8603950,0,5,1,1635603122,1711861624,
LTE,440,11,39937,188752393,37,132.7374564,33.8615410,0,6,1,1629552002,1711861624,
LTE,440,11,39937,188753153,184,133.5678733,33.9837700,0,4,1,1613988126,1715673757,
LTE,440,11,39937,188754693,153,132.7517689,33.8785680,0,12,1,1633172663,1711861621,
LTE,440,11,39937,188754694,70,132.7520669,33.8830082,0,13,1,1633172663,1711861621,
LTE,440,11,39937,188755204,154,132.7644187,33.8274193,0,1,1,1623500023,1711861620,
LTE,440,11,39937,188755205,365,132.7623926,33.8207520,0,7,1,1622277705,1711861620,
LTE,440,11,39937,188755206,54,132.7660042,33.8209524,0,15,1,1622805712,1711861620,
LTE,440,11,39937,188755211,81,132.7630233,33.8305222,0,12,1,1622805712,1711861620,
LTE,440,11,39937,188755212,62,132.7583050,33.8362642,0,10,1,1622805712,1711861620,
LTE,440,11,39937,188755723,242,132.6468940,33.7565864,0,2,1,1634957846,1715746969,
LTE,440,11,39937,188756737,244,132.9958673,34.0394385,0,85,1,1618483163,1715425850,
LTE,440,11,39937,188756738,377,132.9870395,34.0332123,0,29,1,1618566644,1714916776,
LTE,440,11,39937,188756739,351,132.9889237,34.0427093,0,34,1,1618483163,1715425850,
LTE,440,11,39937,188756740,211,133.0020257,34.0358076,0,65,1,1625889977,1715425850,
LTE,440,11,39937,188756741,203,132.9995597,34.0198872,0,10,1,1625889977,1714916775,
LTE,440,11,39937,188756742,195,132.9771028,34.0377203,0,20,1,1625889975,1714916776,
LTE,440,11,39937,188756743,62,132.9864555,34.0298909,0,61,1,1650448772,1714916776,
LTE,440,11,39937,188756744,54,132.9868590,34.0211195,0,26,1,1650534755,1714916776,
